package_name,warning,count
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,low reference margin,1
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,ok,10
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,reference not fully stable,6
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,reference pose deviation > 3 mm,4
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,tracking mode guarded,4
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,low reference tag count,5
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,ok,7
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,reference not fully stable,6
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,reference pose deviation > 3 mm,4
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,tracking mode guarded,4
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,low probe margin,5
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,low reference margin,1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,ok,10
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,reference not fully stable,1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,reference pose deviation > 3 mm,1
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,low reference margin,1
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,low reference tag count,1
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,ok,15
case_bonereg_femur_pit_marker_trial_20260712_190228_571_model_on_20260712_190401,low probe tag count,1
case_bonereg_femur_pit_marker_trial_20260712_190228_571_model_on_20260712_190401,low reference tag count,7
case_bonereg_femur_pit_marker_trial_20260712_190228_571_model_on_20260712_190401,ok,4
case_bonereg_femur_pit_marker_trial_20260712_190228_571_model_on_20260712_190401,reference not fully stable,6
case_bonereg_femur_pit_marker_trial_20260712_190228_571_model_on_20260712_190401,reference pose deviation > 3 mm,3
case_bonereg_femur_pit_marker_trial_20260712_190228_571_model_on_20260712_190401,tracking mode guarded,4
case_bonereg_femur_pit_marker_trial_20260712_190433_485_model_on_20260712_190641,low reference margin,3
case_bonereg_femur_pit_marker_trial_20260712_190433_485_model_on_20260712_190641,low reference tag count,5
case_bonereg_femur_pit_marker_trial_20260712_190433_485_model_on_20260712_190641,ok,8
case_bonereg_femur_pit_marker_trial_20260712_190433_485_model_on_20260712_190641,reference not fully stable,1
case_bonereg_femur_pit_marker_trial_20260712_190433_485_model_on_20260712_190641,reference pose deviation > 3 mm,1
case_bonereg_femur_pit_marker_trial_20260712_190433_485_model_on_20260712_190641,tracking mode guarded,1
case_bonereg_femur_pit_marker_trial_20260712_190721_535_model_on_20260712_190911,low reference tag count,13
case_bonereg_femur_pit_marker_trial_20260712_190721_535_model_on_20260712_190911,ok,4
case_bonereg_femur_pit_marker_trial_20260712_190721_535_model_on_20260712_190911,reference not fully stable,1
case_bonereg_femur_pit_marker_trial_20260712_190721_535_model_on_20260712_190911,tracking mode guarded,1
case_bonereg_femur_pit_marker_trial_20260712_190947_478_model_on_20260712_191122,low reference tag count,13
case_bonereg_femur_pit_marker_trial_20260712_190947_478_model_on_20260712_191122,ok,1
case_bonereg_femur_pit_marker_trial_20260712_190947_478_model_on_20260712_191122,reference not fully stable,4
case_bonereg_femur_pit_marker_trial_20260712_190947_478_model_on_20260712_191122,reference pose deviation > 3 mm,3
case_bonereg_femur_pit_marker_trial_20260712_190947_478_model_on_20260712_191122,tracking mode guarded,1
case_bonereg_femur_pit_marker_trial_20260712_191159_393_model_on_20260712_191318,low reference tag count,12
case_bonereg_femur_pit_marker_trial_20260712_191159_393_model_on_20260712_191318,ok,1
case_bonereg_femur_pit_marker_trial_20260712_191159_393_model_on_20260712_191318,reference not fully stable,6
case_bonereg_femur_pit_marker_trial_20260712_191159_393_model_on_20260712_191318,reference pose deviation > 3 mm,4
case_bonereg_femur_pit_marker_trial_20260712_191159_393_model_on_20260712_191318,tracking mode guarded,3
case_bonereg_femur_pit_marker_trial_20260712_191425_005_model_on_20260712_191752,low reference tag count,5
case_bonereg_femur_pit_marker_trial_20260712_191425_005_model_on_20260712_191752,ok,9
case_bonereg_femur_pit_marker_trial_20260712_191425_005_model_on_20260712_191752,reference not fully stable,4
case_bonereg_femur_pit_marker_trial_20260712_191425_005_model_on_20260712_191752,reference pose deviation > 3 mm,3
case_bonereg_femur_pit_marker_trial_20260712_191425_005_model_on_20260712_191752,tracking mode guarded,3
case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,low probe margin,1
case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,low reference tag count,4
case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,ok,10
case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,reference not fully stable,3
case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,reference pose deviation > 3 mm,2
case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,tracking mode guarded,2
case_bonereg_femur_pit_marker_trial_20260712_192155_831_model_on_20260712_192401,low reference tag count,4
case_bonereg_femur_pit_marker_trial_20260712_192155_831_model_on_20260712_192401,ok,8
case_bonereg_femur_pit_marker_trial_20260712_192155_831_model_on_20260712_192401,reference not fully stable,6
