sequence,package_name,trial_id,protocol,operator_id,apple_vision_pro_id,device_chip,anatomy,tre_group_id,analysis_status,source_note_original,qc_note,stop_k,fit_rmse_mm,tre_rmse_mm,tre_p95_mm,tre_max_mm,tre_pass_rate,tre_points_n,all_7_tre_within_3mm,registration_duration_sec,total_duration_sec,registration_bbox_diagonal_mm,pairwise_min_distance_mm,pairwise_mean_distance_mm,translation_uncertainty_mm,rotation_uncertainty_deg,enhanced_model_detection_count,tre_tracking_quality_mean,point_savings_vs_49,point_savings_fraction_vs_49
1,case_bonereg_tibia_pit_marker_trial_20260712_171915_493_model_on_20260712_172309,trial_20260712_171915_493,Adaptive,OP-01,VP-A,M2,Tibia,TRE_GROUP_1,included,,,10,1.028294,0.9545577981815156,1.2405761999999998,1.272594,1.0,7,True,59.78083000000001,234.0,96.832901,19.258114,42.173907,10.073639,1.601817,5,0.8042857142857143,39,0.7959183673469388
2,case_bonereg_tibia_pit_marker_trial_20260712_172351_492_model_on_20260712_172540,trial_20260712_172351_492,Fixed k=10,OP-01,VP-A,M2,Tibia,TRE_GROUP_2,included,,,10,0.466455,2.4295343008860475,2.8604388999999997,2.866942,1.0,7,True,21.93272300000001,109.0,48.400555,2.204461,18.816325,15.120159,3.186028,3,0.6642114285714286,39,0.7959183673469388
3,case_bonereg_tibia_pit_marker_trial_20260712_172620_844_model_on_20260712_172836,trial_20260712_172620_844,Adaptive,OP-01,VP-A,M2,Tibia,TRE_GROUP_3,included,,,11,0.968061,0.9789759743136848,1.2019575999999998,1.225387,1.0,7,True,53.99172599999997,136.0,100.142248,10.137811,43.172051,6.594381,1.227398,3,0.8758285714285714,38,0.7755102040816326
4,case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,Fixed k=10,OP-01,VP-B,M5,Femur,TRE_GROUP_2,included,,,10,1.518947,2.753260794096182,4.158039399999999,4.458925,0.7142857142857143,7,False,32.00509299999999,125.0,58.458429,7.989965,25.371848,21.861983,3.046672,3,0.9231428571428572,39,0.7959183673469388
5,case_bonereg_femur_pit_marker_trial_20260712_191425_005_model_on_20260712_191752,trial_20260712_191425_005,Adaptive,OP-01,VP-B,M5,Femur,TRE_GROUP_3,included,,,10,1.108526,1.0291998144386596,1.3795783,1.413238,1.0,7,True,55.25153,207.0,125.503525,23.378624,52.879112,13.765347,1.937534,5,0.7942171428571428,39,0.7959183673469388
6,case_bonereg_femur_pit_marker_trial_20260712_191821_713_model_on_20260712_192114,trial_20260712_191821_713,Adaptive,OP-01,VP-B,M5,Femur,TRE_GROUP_1,included,,,11,1.299572,1.1395582000695332,1.4258186,1.438388,1.0,7,True,52.31197699999984,173.0,117.12572,3.746097,46.031304,16.139511,2.058787,3,0.9228571428571428,38,0.7755102040816326
7,case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,Fixed k=10,OP-01,VP-A,M2,Femur,TRE_GROUP_3,included,,,10,1.123082,2.854453429018517,3.4959418,3.499687,0.4285714285714285,7,False,27.11584100000005,115.0,48.567493,2.514947,20.467445,28.76245,4.167366,6,0.9179828571428572,39,0.7959183673469388
8,case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,Fixed k=10,OP-01,VP-A,M2,Femur,TRE_GROUP_1,included,,,10,0.823829,2.3389439798111575,3.1508902999999995,3.306164,0.8571428571428571,7,False,22.376567999999907,86.0,76.939605,7.989965,32.684928,13.171511,2.014952,1,0.9158285714285714,39,0.7959183673469388
9,case_bonereg_femur_pit_marker_trial_20260712_192155_831_model_on_20260712_192401,trial_20260712_192155_831,Adaptive,OP-01,VP-A,M2,Femur,TRE_GROUP_2,included,,,11,1.37022,1.078298074009223,1.4192882,1.454345,1.0,7,True,54.5984739999999,125.0,125.503525,12.004676,51.161606,10.088367,1.292135,3,0.6593371428571428,38,0.7755102040816326
10,case_bonereg_tibia_pit_marker_trial_20260712_172919_165_model_on_20260712_173057,trial_20260712_172919_165,Fixed k=10,OP-01,VP-B,M5,Tibia,TRE_GROUP_1,included,,,10,0.511301,2.257542668829033,3.3322409999999993,3.626598,0.8571428571428571,7,False,20.569961000000035,98.0,25.043117,2.200717,10.357015,25.698287,8.653398,3,0.8501142857142857,39,0.7959183673469388
11,case_bonereg_tibia_pit_marker_trial_20260712_173449_714_model_on_20260712_173713,trial_20260712_173449_714,Adaptive,OP-01,VP-B,M5,Tibia,TRE_GROUP_2,included,,,13,1.185574,0.9351562422138728,1.178375,1.251125,1.0,7,True,62.630398000000014,144.0,108.787671,16.455032,42.13599,9.840699,1.537857,5,0.6236582857142857,36,0.7346938775510204
12,case_bonereg_tibia_pit_marker_trial_20260712_173757_511_model_on_20260712_174048,trial_20260712_173757_511,Fixed k=10,OP-01,VP-B,M5,Tibia,TRE_GROUP_3,included,,,10,0.385544,2.0051991165591794,3.0898795999999997,3.252617,0.8571428571428571,7,False,20.636837999999955,171.0,54.830965,2.204461,19.424265,12.821666,2.845894,1,0.8802285714285715,39,0.7959183673469388
