package_name,trial_id,landmark_index,landmark_name,error_mm,passed,tracking_quality,protocol,operator_id,apple_vision_pro_id,anatomy,tre_group_id
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,0,G1 F_1-2,1.790141,True,1.0,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,1,G1 F_1-4,2.010568,True,1.0,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,15,G3 F_3-9,3.455973,False,1.0,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,16,G3 F_3-10,4.458925,False,0.602,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,32,G6 F_6-5,2.914511,True,1.0,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,33,G6 F_6-6,2.141121,True,0.86,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185312_719_model_on_20260712_185518,trial_20260712_185312_719,38,G7 F_7-5,0.954773,True,1.0,Fixed k=10,OP-01,VP-B,Femur,TRE_GROUP_2
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,5,G1 F_1-14,1.676261,True,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,6,G2 F_2-3,3.075471,False,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,21,G4 F_4-5,2.434402,True,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,27,G5 F_5-5,3.441524,False,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,30,G6 F_6-2,1.608777,True,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,34,G7 F_7-1,3.487203,False,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185556_849_model_on_20260712_185751,trial_20260712_185556_849,37,G7 F_7-4,3.499687,False,0.42588,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,4,G1 F_1-13,1.705275,True,0.6708,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,8,G2 F_2-6,2.133759,True,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,11,G2 F_2-14,3.306164,False,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,14,G3 F_3-7,2.261292,True,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,20,G4 F_4-4,1.003993,True,0.86,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,28,G5 F_5-6,2.450582,True,1.0,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_185822_912_model_on_20260712_185948,trial_20260712_185822_912,45,G8 F_8-20,2.788585,True,0.88,Fixed k=10,OP-01,VP-A,Femur,TRE_GROUP_1
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,trial_20260712_190021_251,5,G1 F_1-14,1.148164,True,0.86,Fixed k=10,OP-02,VP-B,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,trial_20260712_190021_251,6,G2 F_2-3,1.409395,True,1.0,Fixed k=10,OP-02,VP-B,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,trial_20260712_190021_251,21,G4 F_4-5,2.852966,True,1.0,Fixed k=10,OP-02,VP-B,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,trial_20260712_190021_251,27,G5 F_5-5,2.687118,True,1.0,Fixed k=10,OP-02,VP-B,Femur,TRE_GROUP_3
case_bonereg_femur_pit_marker_trial_20260712_190021_251_model_on_20260712_190159,trial_20260712_190021_251,30,G6 F_6-2,4.236586,False,1.0,Fixed k=10,OP-02,VP-B,Femur,TRE_GROUP_3
